kolom_1,pdf_1,omschrijving_1,kolom_2,pdf_2,omschrijving_2,kolom_3,pdf_3,omschrijving_3,kolom_4,pdf_4,omschrijving_4,kolom_5,pdf_5,omschrijving_5,kolom_6,pdf_6,omschrijving_6,kolom_7,pdf_7,omschrijving_7,kolom_8,pdf_8,omschrijving_8,kolom_9,pdf_9,omschrijving_9,kolom_10,pdf_10,omschrijving_10,kolom_11,pdf_11,omschrijving_11,kolom_12,pdf_12,omschrijving_12,kolom_13,pdf_13,omschrijving_13,kolom_14,pdf_14,omschrijving_14,kolom_15,pdf_15,omschrijving_15
.,begin nummer,ANW 0000,.,begin nummer,ANX 2000,.,begin nummer,ANY 4000,.,begin nummer,ANZ 6000,.,begin nummer,AOA 8000,.,begin nummer,AOB 0000,.,begin nummer,AOC 2000,.,begin nummer,AOD 4000,.,begin nummer,AOE 6000,.,begin nummer,AOF 8000,.,begin nummer,AOG 0000,.,begin nummer,AOH 2000,.,begin nummer,AOI 4000,.,begin nummer,AOJ 6000,.,begin nummer,AOK 8000
.,eind nummer,ANW 1999,.,eind nummer,ANX 3999,.,eind nummer,ANY 5999,.,eind nummer,ANZ 7999,.,eind nummer,AOA 9999,.,eind nummer,AOB 1999,.,eind nummer,AOC 3999,.,eind nummer,AOD 5999,.,eind nummer,AOE 7999,.,eind nummer,AOF 9999,.,eind nummer,AOG 1999,.,eind nummer,AOH 3999,.,eind nummer,AOI 5999,.,eind nummer,AOJ 7999,.,eind nummer,AOK 9999
.,rol nummer,rol_376,.,rol nummer,rol_377,.,rol nummer,rol_378,.,rol nummer,rol_379,.,rol nummer,rol_380,.,rol nummer,rol_381,.,rol nummer,rol_382,.,rol nummer,rol_383,.,rol nummer,rol_384,.,rol nummer,rol_385,.,rol nummer,rol_386,.,rol nummer,rol_387,.,rol nummer,rol_388,.,rol nummer,rol_389,.,rol nummer,rol_390
.,begin nummer,AOL 0000,.,begin nummer,AOM 2000,.,begin nummer,AON 4000,.,begin nummer,AOO 6000,.,begin nummer,AOP 8000,.,begin nummer,AOQ 0000,.,begin nummer,AOR 2000,.,begin nummer,AOS 4000,.,begin nummer,AOT 6000,.,begin nummer,AOU 8000,.,begin nummer,AOV 0000,.,begin nummer,AOW 2000,.,begin nummer,AOX 4000,.,begin nummer,AOY 6000,.,begin nummer,AOZ 8000
.,eind nummer,AOL 1999,.,eind nummer,AOM 3999,.,eind nummer,AON 5999,.,eind nummer,AOO 7999,.,eind nummer,AOP 9999,.,eind nummer,AOQ 1999,.,eind nummer,AOR 3999,.,eind nummer,AOS 5999,.,eind nummer,AOT 7999,.,eind nummer,AOU 9999,.,eind nummer,AOV 1999,.,eind nummer,AOW 3999,.,eind nummer,AOX 5999,.,eind nummer,AOY 7999,.,eind nummer,AOZ 9999
.,rol nummer,rol_391,.,rol nummer,rol_392,.,rol nummer,rol_393,.,rol nummer,rol_394,.,rol nummer,rol_395,.,rol nummer,rol_396,.,rol nummer,rol_397,.,rol nummer,rol_398,.,rol nummer,rol_399,.,rol nummer,rol_400,.,rol nummer,rol_401,.,rol nummer,rol_402,.,rol nummer,rol_403,.,rol nummer,rol_404,.,rol nummer,rol_405
.,begin nummer,APA 0000,.,begin nummer,APB 2000,.,begin nummer,APC 4000,.,begin nummer,APD 6000,.,begin nummer,APE 8000,.,begin nummer,APF 0000,.,begin nummer,APG 2000,.,begin nummer,APH 4000,.,begin nummer,API 6000,.,begin nummer,APJ 8000,.,begin nummer,APK 0000,.,begin nummer,APL 2000,.,begin nummer,APM 4000,.,begin nummer,APN 6000,.,begin nummer,APO 8000
.,eind nummer,APA 1999,.,eind nummer,APB 3999,.,eind nummer,APC 5999,.,eind nummer,APD 7999,.,eind nummer,APE 9999,.,eind nummer,APF 1999,.,eind nummer,APG 3999,.,eind nummer,APH 5999,.,eind nummer,API 7999,.,eind nummer,APJ 9999,.,eind nummer,APK 1999,.,eind nummer,APL 3999,.,eind nummer,APM 5999,.,eind nummer,APN 7999,.,eind nummer,APO 9999
.,rol nummer,rol_406,.,rol nummer,rol_407,.,rol nummer,rol_408,.,rol nummer,rol_409,.,rol nummer,rol_410,.,rol nummer,rol_411,.,rol nummer,rol_412,.,rol nummer,rol_413,.,rol nummer,rol_414,.,rol nummer,rol_415,.,rol nummer,rol_416,.,rol nummer,rol_417,.,rol nummer,rol_418,.,rol nummer,rol_419,.,rol nummer,rol_420
.,begin nummer,APP 0000,.,begin nummer,APQ 2000,.,begin nummer,apr-00,.,begin nummer,APS 6000,.,begin nummer,APT 8000,.,begin nummer,APU 0000,.,begin nummer,APV 2000,.,begin nummer,APW 4000,.,begin nummer,APX 6000,.,begin nummer,APY 8000,.,begin nummer,APZ 0000,.,begin nummer,AQA 2000,.,begin nummer,AQB 4000,.,begin nummer,AQC 6000,.,begin nummer,AQD 8000
.,eind nummer,APP 1999,.,eind nummer,APQ 3999,.,eind nummer,apr-99,.,eind nummer,APS 7999,.,eind nummer,APT 9999,.,eind nummer,APU 1999,.,eind nummer,APV 3999,.,eind nummer,APW 5999,.,eind nummer,APX 7999,.,eind nummer,APY 9999,.,eind nummer,APZ 1999,.,eind nummer,AQA 3999,.,eind nummer,AQB 5999,.,eind nummer,AQC 7999,.,eind nummer,AQD 9999
.,rol nummer,rol_421,.,rol nummer,rol_422,.,rol nummer,rol_423,.,rol nummer,rol_424,.,rol nummer,rol_425,.,rol nummer,rol_426,.,rol nummer,rol_427,.,rol nummer,rol_428,.,rol nummer,rol_429,.,rol nummer,rol_430,.,rol nummer,rol_431,.,rol nummer,rol_432,.,rol nummer,rol_433,.,rol nummer,rol_434,.,rol nummer,rol_435
.,begin nummer,AQE 0000,.,begin nummer,AQF 2000,.,begin nummer,AQG 4000,.,begin nummer,AQH 6000,.,begin nummer,AQI 8000,.,begin nummer,AQJ 0000,.,begin nummer,AQK 2000,.,begin nummer,AQL 4000,.,begin nummer,AQM 6000,.,begin nummer,AQN 8000,.,begin nummer,AQO 0000,.,begin nummer,AQP 2000,.,begin nummer,AQQ 4000,.,begin nummer,AQR 6000,.,begin nummer,AQS 8000
.,eind nummer,AQE 1999,.,eind nummer,AQF 3999,.,eind nummer,AQG 5999,.,eind nummer,AQH 7999,.,eind nummer,AQI 9999,.,eind nummer,AQJ 1999,.,eind nummer,AQK 3999,.,eind nummer,AQL 5999,.,eind nummer,AQM 7999,.,eind nummer,AQN 9999,.,eind nummer,AQO 1999,.,eind nummer,AQP 3999,.,eind nummer,AQQ 5999,.,eind nummer,AQR 7999,.,eind nummer,AQS 9999
.,rol nummer,rol_436,.,rol nummer,rol_437,.,rol nummer,rol_438,.,rol nummer,rol_439,.,rol nummer,rol_440,.,rol nummer,rol_441,.,rol nummer,rol_442,.,rol nummer,rol_443,.,rol nummer,rol_444,.,rol nummer,rol_445,.,rol nummer,rol_446,.,rol nummer,rol_447,.,rol nummer,rol_448,.,rol nummer,rol_449,.,rol nummer,rol_450
.,begin nummer,AQT 0000,.,begin nummer,AQU 2000,.,begin nummer,AQV 4000,.,begin nummer,AQW 6000,.,begin nummer,AQX 8000,.,begin nummer,AQY 0000,.,begin nummer,AQZ 2000,.,begin nummer,ARA 4000,.,begin nummer,ARB 6000,.,begin nummer,ARC 8000,.,begin nummer,ARD 0000,.,begin nummer,ARE 2000,.,begin nummer,ARF 4000,.,begin nummer,ARG 6000,.,begin nummer,ARH 8000
.,eind nummer,AQT 1999,.,eind nummer,AQU 3999,.,eind nummer,AQV 5999,.,eind nummer,AQW 7999,.,eind nummer,AQX 9999,.,eind nummer,AQY 1999,.,eind nummer,AQZ 3999,.,eind nummer,ARA 5999,.,eind nummer,ARB 7999,.,eind nummer,ARC 9999,.,eind nummer,ARD 1999,.,eind nummer,ARE 3999,.,eind nummer,ARF 5999,.,eind nummer,ARG 7999,.,eind nummer,ARH 9999
